id,route,departing_port,arriving_port,airline,year,sectors_scheduled,sectors_flown,cancellations,departures_on_time,arrivals_on_time,departures_delayed,arrivals_delayed,otp_departures_pct,otp_arrivals_pct,cancellations_pct,defect_rate_pct,date_loaded
1,Adelaide-Alice Springs,Adelaide,Alice Springs,All Airlines,2018,626,620,6,489,487,131,133,78.871,78.548,0.958,22.204,2026-05-08
2,Adelaide-Alice Springs,Adelaide,Alice Springs,Qantas,2018,364,362,2,292,313,70,49,80.663,86.464,0.549,14.011,2026-05-08
3,Adelaide-Alice Springs,Adelaide,Alice Springs,Virgin Australia,2018,124,124,0,106,95,18,29,85.484,76.613,0.0,23.387,2026-05-08
4,Adelaide-Alice Springs,Adelaide,Alice Springs,Virgin Australia Regional Airlines,2018,138,134,4,91,79,43,55,67.91,58.955,2.899,42.754,2026-05-08
5,Adelaide-Brisbane,Adelaide,Brisbane,All Airlines,2018,3349,3311,38,2824,2830,487,481,85.291,85.473,1.135,15.497,2026-05-08
6,Adelaide-Brisbane,Adelaide,Brisbane,Jetstar,2018,311,306,5,229,233,77,73,74.837,76.144,1.608,25.08,2026-05-08
7,Adelaide-Brisbane,Adelaide,Brisbane,Qantas,2018,800,800,0,705,708,95,92,88.125,88.5,0.0,11.5,2026-05-08
8,Adelaide-Brisbane,Adelaide,Brisbane,QantasLink,2018,635,619,16,547,514,72,105,88.368,83.037,2.52,19.055,2026-05-08
9,Adelaide-Brisbane,Adelaide,Brisbane,Tigerair Australia,2018,314,310,4,238,224,72,86,76.774,72.258,1.274,28.662,2026-05-08
10,Adelaide-Brisbane,Adelaide,Brisbane,Virgin Australia,2018,1289,1276,13,1105,1151,171,125,86.599,90.204,1.009,10.706,2026-05-08
11,Adelaide-Canberra,Adelaide,Canberra,All Airlines,2018,838,835,3,715,724,120,111,85.629,86.707,0.358,13.604,2026-05-08
12,Adelaide-Canberra,Adelaide,Canberra,Qantas,2018,507,507,0,443,454,64,53,87.377,89.546,0.0,10.454,2026-05-08
13,Adelaide-Canberra,Adelaide,Canberra,QantasLink,2018,18,18,0,8,4,10,14,44.444,22.222,0.0,77.778,2026-05-08
14,Adelaide-Canberra,Adelaide,Canberra,Virgin Australia,2018,313,310,3,264,266,46,44,85.161,85.806,0.958,15.016,2026-05-08
15,Adelaide-Gold Coast,Adelaide,Gold Coast,All Airlines,2018,746,742,4,646,674,96,68,87.062,90.836,0.536,9.651,2026-05-08
16,Adelaide-Gold Coast,Adelaide,Gold Coast,Jetstar,2018,363,360,3,296,322,64,38,82.222,89.444,0.826,11.295,2026-05-08
17,Adelaide-Gold Coast,Adelaide,Gold Coast,Virgin Australia,2018,383,382,1,350,352,32,30,91.623,92.147,0.261,8.094,2026-05-08
18,Adelaide-Melbourne,Adelaide,Melbourne,All Airlines,2018,8765,8576,189,6796,6830,1780,1746,79.244,79.641,2.156,22.076,2026-05-08
19,Adelaide-Melbourne,Adelaide,Melbourne,Jetstar,2018,1271,1215,56,883,941,332,274,72.675,77.449,4.406,25.964,2026-05-08
20,Adelaide-Melbourne,Adelaide,Melbourne,Qantas,2018,3298,3273,25,2730,2752,543,521,83.41,84.082,0.758,16.555,2026-05-08
21,Adelaide-Melbourne,Adelaide,Melbourne,Tigerair Australia,2018,896,865,31,565,569,300,296,65.318,65.78,3.46,36.496,2026-05-08
