Route,Departing Port,Arriving Port,Airline,Year,Sectors Scheduled,Sectors Flown,Cancellations,Departures On Time,Arrivals On Time,Departures Delayed,Arrivals Delayed,OnTime Departures Pct,OnTime Arrivals Pct,Cancellations Pct
Adelaide-Alice Springs,Adelaide,Alice Springs,All Airlines,2018,626,620,6,489,487,131,133,78.87096774193549,78.54838709677419,0.9584664536741214
Adelaide-Alice Springs,Adelaide,Alice Springs,Qantas,2018,364,362,2,292,313,70,49,80.66298342541437,86.46408839779005,0.5494505494505495
Adelaide-Alice Springs,Adelaide,Alice Springs,Virgin Australia,2018,124,124,0,106,95,18,29,85.48387096774194,76.61290322580645,0.0
Adelaide-Alice Springs,Adelaide,Alice Springs,Virgin Australia Regional Airlines,2018,138,134,4,91,79,43,55,67.91044776119402,58.95522388059702,2.898550724637681
Adelaide-Brisbane,Adelaide,Brisbane,All Airlines,2018,3349,3311,38,2824,2830,487,481,85.2914527333132,85.47266686801571,1.1346670647954613
Adelaide-Brisbane,Adelaide,Brisbane,Jetstar,2018,311,306,5,229,233,77,73,74.83660130718954,76.1437908496732,1.607717041800643
Adelaide-Brisbane,Adelaide,Brisbane,Qantas,2018,800,800,0,705,708,95,92,88.125,88.5,0.0
Adelaide-Brisbane,Adelaide,Brisbane,QantasLink,2018,635,619,16,547,514,72,105,88.36833602584814,83.03715670436188,2.5196850393700787
Adelaide-Brisbane,Adelaide,Brisbane,Tigerair Australia,2018,314,310,4,238,224,72,86,76.77419354838709,72.25806451612902,1.2738853503184715
Adelaide-Brisbane,Adelaide,Brisbane,Virgin Australia,2018,1289,1276,13,1105,1151,171,125,86.59874608150471,90.20376175548589,1.008533747090768
Adelaide-Canberra,Adelaide,Canberra,All Airlines,2018,838,835,3,715,724,120,111,85.62874251497006,86.7065868263473,0.35799522673031026
Adelaide-Canberra,Adelaide,Canberra,Qantas,2018,507,507,0,443,454,64,53,87.3767258382643,89.54635108481263,0.0
Adelaide-Canberra,Adelaide,Canberra,QantasLink,2018,18,18,0,8,4,10,14,44.44444444444444,22.22222222222222,0.0
Adelaide-Canberra,Adelaide,Canberra,Virgin Australia,2018,313,310,3,264,266,46,44,85.16129032258064,85.80645161290322,0.9584664536741214
Adelaide-Gold Coast,Adelaide,Gold Coast,All Airlines,2018,746,742,4,646,674,96,68,87.06199460916442,90.83557951482479,0.5361930294906166
Adelaide-Gold Coast,Adelaide,Gold Coast,Jetstar,2018,363,360,3,296,322,64,38,82.22222222222221,89.44444444444444,0.8264462809917356
Adelaide-Gold Coast,Adelaide,Gold Coast,Virgin Australia,2018,383,382,1,350,352,32,30,91.62303664921467,92.14659685863874,0.26109660574412535
Adelaide-Melbourne,Adelaide,Melbourne,All Airlines,2018,8765,8576,189,6796,6830,1780,1746,79.24440298507463,79.64085820895522,2.1563034797490017
Adelaide-Melbourne,Adelaide,Melbourne,Jetstar,2018,1271,1215,56,883,941,332,274,72.67489711934157,77.44855967078189,4.405979543666405
Adelaide-Melbourne,Adelaide,Melbourne,Qantas,2018,3298,3273,25,2730,2752,543,521,83.40971585701192,84.08188206538344,0.7580351728320194
Adelaide-Melbourne,Adelaide,Melbourne,Tigerair Australia,2018,896,865,31,565,569,300,296,65.3179190751445,65.78034682080924,3.459821428571429
Adelaide-Melbourne,Adelaide,Melbourne,Virgin Australia,2018,3276,3204,72,2605,2555,599,649,81.30461922596754,79.74406991260923,2.197802197802198
Adelaide-Melbourne,Adelaide,Melbourne,Virgin Australia Regional Airlines,2018,24,19,5,13,13,6,6,68.42105263157895,68.42105263157895,20.833333333333336
Adelaide-Perth,Adelaide,Perth,All Airlines,2018,2566,2533,33,2122,2087,411,446,83.77418081326489,82.39242005527043,1.2860483242400622
Adelaide-Perth,Adelaide,Perth,Jetstar,2018,323,317,6,242,255,75,62,76.34069400630915,80.4416403785489,1.8575851393188854
Adelaide-Perth,Adelaide,Perth,Qantas,2018,1174,1172,2,1025,1045,147,127,87.45733788395904,89.16382252559727,0.17035775127768313
Adelaide-Perth,Adelaide,Perth,QantasLink,2018,136,132,4,126,119,6,13,95.45454545454545,90.15151515151516,2.941176470588235
Adelaide-Perth,Adelaide,Perth,Virgin Australia,2018,505,501,4,450,423,51,78,89.82035928143712,84.4311377245509,0.7920792079207921
Adelaide-Perth,Adelaide,Perth,Virgin Australia Regional Airlines,2018,428,411,17,279,245,132,166,67.88321167883211,59.61070559610706,3.9719626168224296
Adelaide-Port Lincoln,Adelaide,Port Lincoln,All Airlines,2018,3664,3631,33,3343,3240,288,391,92.06830074359681,89.23161663453594,0.9006550218340612
Adelaide-Port Lincoln,Adelaide,Port Lincoln,QantasLink,2018,1300,1291,9,1181,1176,110,115,91.47947327652982,91.09217660728117,0.6923076923076923
Adelaide-Port Lincoln,Adelaide,Port Lincoln,Regional Express,2018,2364,2340,24,2162,2064,178,276,92.3931623931624,88.2051282051282,1.015228426395939
Adelaide-Sydney,Adelaide,Sydney,All Airlines,2018,6840,6711,129,5424,5326,1287,1385,80.82253017434063,79.3622410967069,1.8859649122807016
Adelaide-Sydney,Adelaide,Sydney,Jetstar,2018,1350,1291,59,961,1003,330,288,74.43841982958946,77.69171185127807,4.37037037037037
Adelaide-Sydney,Adelaide,Sydney,Qantas,2018,2671,2651,20,2262,2170,389,481,85.32629196529612,81.85590343266692,0.7487832272557094
Adelaide-Sydney,Adelaide,Sydney,QantasLink,2018,373,357,16,281,283,76,74,78.71148459383754,79.27170868347339,4.289544235924933
