id,year,travel_purpose,avg_weekly_earnings_aud,aud_per_hour,source_name,source_url,notes
1,2023,economy,1880.0,39.95,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Economy rate = 85% of ABS AWE — EUROCONTROL methodology
2,2023,business,1880.0,84.6,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Business rate = 180% of ABS AWE — EUROCONTROL methodology
3,2023,average,1880.0,44.65,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Average rate = 95% of ABS AWE — 15% business 85% economy mix
4,2024,economy,1949.6,41.43,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Economy rate = 85% of ABS AWE — EUROCONTROL methodology
5,2024,business,1949.6,87.73,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Business rate = 180% of ABS AWE — EUROCONTROL methodology
6,2024,average,1949.6,46.3,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Average rate = 95% of ABS AWE — 15% business 85% economy mix
7,2025,economy,2030.55,43.15,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Economy rate = 85% of ABS AWE — EUROCONTROL methodology
8,2025,business,2030.55,91.37,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Business rate = 180% of ABS AWE — EUROCONTROL methodology
9,2025,average,2030.55,48.22,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Average rate = 95% of ABS AWE — 15% business 85% economy mix
10,2023,economy,1880.0,39.95,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Economy rate = 85% of ABS AWE — EUROCONTROL methodology
11,2023,business,1880.0,84.6,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Business rate = 180% of ABS AWE — EUROCONTROL methodology
12,2023,average,1880.0,44.65,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Average rate = 95% of ABS AWE — 15% business 85% economy mix
13,2024,economy,1949.6,41.43,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Economy rate = 85% of ABS AWE — EUROCONTROL methodology
14,2024,business,1949.6,87.73,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Business rate = 180% of ABS AWE — EUROCONTROL methodology
15,2024,average,1949.6,46.3,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Average rate = 95% of ABS AWE — 15% business 85% economy mix
16,2025,economy,2030.55,43.15,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Economy rate = 85% of ABS AWE — EUROCONTROL methodology
17,2025,business,2030.55,91.37,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Business rate = 180% of ABS AWE — EUROCONTROL methodology
18,2025,average,2030.55,48.22,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Average rate = 95% of ABS AWE — 15% business 85% economy mix
19,2023,economy,1880.0,39.95,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Economy rate = 85% of ABS AWE — EUROCONTROL methodology
20,2023,business,1880.0,84.6,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Business rate = 180% of ABS AWE — EUROCONTROL methodology
21,2023,average,1880.0,44.65,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Average rate = 95% of ABS AWE — 15% business 85% economy mix
22,2024,economy,1949.6,41.43,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Economy rate = 85% of ABS AWE — EUROCONTROL methodology
23,2024,business,1949.6,87.73,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Business rate = 180% of ABS AWE — EUROCONTROL methodology
24,2024,average,1949.6,46.3,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Average rate = 95% of ABS AWE — 15% business 85% economy mix
25,2025,economy,2030.55,43.15,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Economy rate = 85% of ABS AWE — EUROCONTROL methodology
26,2025,business,2030.55,91.37,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Business rate = 180% of ABS AWE — EUROCONTROL methodology
27,2025,average,2030.55,48.22,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Average rate = 95% of ABS AWE — 15% business 85% economy mix
