airport,degree_centrality,betweenness_centrality,closeness_centrality,in_degree,out_degree
Sydney,1.15,0.6346153846153846,3.010030928067786e-05,23,23
Darwin,0.3,0.5102564102564102,2.89544546428468e-05,6,6
Brisbane,0.95,0.3243589743589744,2.3748230756808617e-05,19,19
Perth,0.55,0.2807692307692307,2.3355809407252915e-05,11,11
Townsville,0.2,0.2076923076923077,2.86643419885314e-05,4,4
Adelaide,0.5,0.1884615384615384,2.749707843541624e-05,10,10
Melbourne,0.8,0.1833333333333333,2.8331340695704403e-05,16,16
Proserpine,0.1,0.1538461538461538,2.925730335434983e-05,2,2
Cairns,0.3,0.0974358974358974,2.711864406779661e-05,6,6
Gold Coast,0.25,0.05,2.6761222987890543e-05,5,5
Mildura,0.05,0.0,1.3055060369862917e-05,1,1
Mount Isa,0.05,0.0,1.7643312214288613e-05,1,1
Newcastle,0.1,0.0,1.556851547977494e-05,2,2
Newman,0.05,0.0,1.2775005956346528e-05,1,1
Port Lincoln,0.05,0.0,1.0585623135937926e-05,1,1
Port Hedland,0.05,0.0,1.2204543263275186e-05,1,1
Launceston,0.15,0.0,2.1710411336308385e-05,3,3
Port Macquarie,0.05,0.0,1.433400965968911e-05,1,1
Rockhampton,0.05,0.0,9.422814896339612e-06,1,1
Sunshine Coast,0.1,0.0,1.364646512202328e-05,2,2
Tamworth,0.05,0.0,2.424709731936216e-05,1,1
Mackay,0.05,0.0,9.791883312084946e-06,1,1
Hobart,0.15,0.0,1.6546894727001056e-05,3,3
Karratha,0.05,0.0,1.1232093235359529e-05,1,1
Kalgoorlie,0.05,0.0,1.3133718326396542e-05,1,1
Alice Springs,0.1,0.0,2.637495961334309e-05,2,2
Armidale,0.05,0.0,1.8951795161417175e-05,1,1
Ayers Rock,0.1,0.0,2.8345755860839343e-05,2,2
Ballina,0.05,0.0,1.4332735897125354e-05,1,1
Broome,0.05,0.0,1.3998113054360272e-05,1,1
Bundaberg,0.05,0.0,2.048240152061349e-05,1,1
Canberra,0.25,0.0,2.2479487467685737e-05,5,5
Coffs Harbour,0.05,0.0,1.3368867783902948e-05,1,1
Devonport,0.05,0.0,1.911442852637313e-05,1,1
Dubbo,0.05,0.0,1.258746716244504e-05,1,1
Emerald,0.05,0.0,1.3772653432523984e-05,1,1
Geraldton,0.05,0.0,2.1674436952314076e-05,1,1
Gladstone,0.05,0.0,1.2767633538275131e-05,1,1
Hamilton Island,0.1,0.0,2.2578536617306224e-05,2,2
Albury,0.05,0.0,1.3394851420959326e-05,1,1
Wagga Wagga,0.05,0.0,1.3479950258983544e-05,1,1
