departing_port,arriving_port,unique_records,total_sectors_flown,total_sectors_scheduled,avg_otp_departures_pct,avg_otp_arrivals_pct
Melbourne,Sydney,50,441088,474794,75.78,71.21
Sydney,Melbourne,50,440218,473688,71.14,69.91
Brisbane,Sydney,48,265192,277420,75.58,72.75
Sydney,Brisbane,48,264958,276944,72.55,71.32
Melbourne,Brisbane,50,205086,212558,71.45,69.35
Brisbane,Melbourne,50,204276,211878,69.6,68.24
Sydney,Gold Coast,50,147348,152090,74.01,73.45
Gold Coast,Sydney,50,147096,152152,71.72,72.52
Melbourne,Adelaide,53,143956,146814,73.36,70.57
Adelaide,Melbourne,53,143626,146888,73.83,74.09
Sydney,Canberra,35,134212,141784,80.15,80.9
Canberra,Sydney,35,133612,141862,81.21,78.97
Melbourne,Gold Coast,52,113116,116566,72.73,72.24
Gold Coast,Melbourne,52,113000,116656,65.26,66.96
Sydney,Adelaide,44,110426,113980,71.15,70.74
Adelaide,Sydney,44,110172,114018,72.32,71.31
Perth,Melbourne,40,97460,99692,69.25,72.24
Melbourne,Perth,40,96172,98006,67.66,69.42
Melbourne,Hobart,51,87318,88878,72.19,69.15
Hobart,Melbourne,50,87088,88888,68.79,66.76
Melbourne,Canberra,51,85808,88392,73.58,73.12
Canberra,Melbourne,51,85478,88266,71.4,71.19
Brisbane,Cairns,50,83708,84918,73.3,73.57
Cairns,Brisbane,50,83596,84890,74.07,76.29
Sydney,Perth,38,83526,84840,62.38,65.82
Perth,Sydney,38,81538,83194,64.1,71.4
Brisbane,Townsville,45,71530,72630,74.08,73.07
Townsville,Brisbane,45,71320,72588,71.37,71.53
Brisbane,Rockhampton,27,65650,66804,74.1,70.54
Rockhampton,Brisbane,27,65320,66962,73.69,71.0
Adelaide,Brisbane,48,64778,66116,78.14,80.17
Brisbane,Adelaide,48,64718,66054,76.88,77.73
Melbourne,Launceston,36,62720,64354,69.64,67.57
Launceston,Melbourne,36,62554,64378,69.29,69.41
Mackay,Brisbane,43,61880,63084,70.24,71.63
