Demand_Region,Supply_Hub,Route_Option,Distance_km,Waypoints_and_Highways
Bowen Basin,Adelaide (Cavan),Option 1,2171.1345,Carfax Road -> Golden Mile Road -> Queen Elizabeth Drive -> Garnham Drive -> Dysart Clermont Road -> Cotherstone Road -> Gregory Highway -> Hospital Road -> Ruby Street -> Clermont Street -> Vince Lester Bridge -> Capricorn Highway -> Gregory Highway -> Eclipse Street -> William Street -> Dawson Highway -> Carnarvon Highway -> Hutton Street -> Carnarvon Highway -> Knayers Lane -> Short Street -> George Street East -> Beaumont Drive -> Roslyn Drive -> Warrego Highway -> Carnarvon Highway -> Burrowes Street -> Cordelia Street -> Carnarvon Highway -> Salmon Road -> Carnarvon Highway -> Castlereagh Highway -> Railway Street -> Castlereagh Highway -> Margaret Street -> William Street -> Maud Street -> Woolerbilla Road -> Hebel - Goodooga Road -> Goodooga Road -> Adams Street -> Goodooga Road -> Kamilaroi Highway -> Bridge Road -> Barwon Street -> Doyle Street -> Darling Street -> Bathurst Street -> Kamilaroi Highway -> Mitchell Street -> Richard Street -> Gorrell Avenue -> Kidman Way -> Bourke Wilcannia Road -> Bloxham Street -> Bourke Wilcannia Road -> Curranyalpa Road -> Fifty Two Mile Road -> Tilpa-Tonga Road -> West Tilpa Road -> Bourke Street -> Reid Street -> Myers Street -> Barrier Highway -> Argent Street -> Iodide Street -> Cobalt Street -> Chloride Street -> Wolfram Street -> Gossan Street -> Talc Street -> Galena Street -> Rakow Street -> Barrier Highway -> Waite Terrace -> Barrier Highway -> Railway Terrace -> Barrier Highway -> Railway Terrace -> Barrier Highway -> Railway South Terrace -> Barrier Highway -> West Street -> Copperhouse Street -> Copperhouse Road -> Barrier Highway -> Weymouth Street -> Barrier Highway -> Burra Road -> Barrier Highway -> Torrens Road -> Barrier Highway -> Horrocks Highway -> Stockport - Tarlee Road -> Rohde Road -> Horrocks Highway -> Sturt Highway -> Gawler Bypass Road -> Main North Road -> Maxwell Road -> Bridge Road
Bowen Basin,Adelaide (Cavan),Option 2,2232.4824,"Carfax Road -> Golden Mile Road -> Queen Elizabeth Drive -> Garnham Drive -> Dysart Clermont Road -> Cotherstone Road -> Gregory Highway -> Hospital Road -> Ruby Street -> Clermont Street -> Vince Lester Bridge -> Capricorn Highway -> Gregory Highway -> Eclipse Street -> William Street -> Dawson Highway -> Carnarvon Highway -> Hutton Street -> Carnarvon Highway -> Knayers Lane -> Short Street -> George Street East -> Beaumont Drive -> Roslyn Drive -> Warrego Highway -> Carnarvon Highway -> Burrowes Street -> Cordelia Street -> Carnarvon Highway -> Salmon Road -> Carnarvon Highway -> Castlereagh Highway -> Railway Street -> Castlereagh Highway -> Margaret Street -> William Street -> Maud Street -> Woolerbilla Road -> Hebel - Goodooga Road -> Goodooga Road -> Adams Street -> Goodooga Road -> Kamilaroi Highway -> Bridge Road -> Barwon Street -> Doyle Street -> Darling Street -> Bathurst Street -> Kamilaroi Highway -> Mitchell Street -> Richard Street -> Gorrell Avenue -> Kidman Way -> Bourke Road -> Frederick Street -> Barton Street -> Marshall Street -> Barrier Highway -> The Wool Track -> Cobar-Ivanhoe Road -> Behring Street -> Columbus Street -> Balranald Road -> Balranald Ivanhoe Road -> Ivanhoe Road -> Hatfield Penarie Road -> Hatfield The Vale Road -> Magenta Wompo Road -> Marma Box Creek Road -> Arumpo Road -> Silver City Highway -> Sturt Highway -> Seventh Street -> Deakin Avenue -> Fifteenth Street -> Walnut Avenue -> Sixteenth Street -> Ontario Avenue -> Dow Avenue -> Eighteenth Street -> Sturt Highway -> Stanitzki Road -> Pike Creek Road -> Lyrup Main Road -> Downer Avenue -> Beames Road -> Thayne Terrace -> Wilson Parade -> Lyrup Ferry ""Kingfisher"" -> Lyrup Road -> Sturt Highway -> Moorundie Street -> Sturt Highway -> Gawler Bypass Road -> Main North Road -> Maxwell Road -> Bridge Road"
Bowen Basin,Brisbane (Yatala),Option 1,989.3029,Carfax Road -> Golden Mile Road -> Fitzroy Developmental Road -> Kennedy Street -> Normanby Street -> Fitzroy Developmental Road -> Capricorn Highway -> Theresa Street -> Capricorn Highway -> Bruce Highway -> Roe Street -> Bruce Highway -> Mulgrave Street -> Bruce Highway -> Churchill Street -> Bruce Highway -> Mayne Street -> Bruce Highway -> Gympie Arterial Road -> Gateway Motorway -> Pacific Motorway -> Stapylton Jacobs Well Road -> Stanmore Road -> Elderslie Road
Bowen Basin,Brisbane (Yatala),Option 2,993.9657,Carfax Road -> Golden Mile Road -> Fitzroy Developmental Road -> Kennedy Street -> Normanby Street -> Fitzroy Developmental Road -> Capricorn Highway -> Theresa Street -> Capricorn Highway -> Leichhardt Highway -> Burnett Highway -> Dawson Highway -> Burnett Highway -> Ramsay Street -> Burnett Highway -> Flinders Street -> Lister Street -> Burnett Highway -> Monal Street -> Burnett Highway -> Moreton Street -> Hodgkinson Street -> Burnett Highway -> Bridge Street -> Capper Street -> Burnett Highway -> Moore Street -> Burnett Highway -> Henry Street -> King Street -> D'Aguilar Highway -> Toomey Street -> D'Aguilar Highway -> Coulson Street -> D'Aguilar Highway -> Brisbane Valley Highway -> Ipswich Street -> Brisbane Valley Highway -> Warrego Highway -> Ipswich Motorway -> Logan Motorway -> Pacific Motorway -> Stapylton Jacobs Well Road -> Stanmore Road -> Elderslie Road
Bowen Basin,Emerald,Option 1,149.2729,Carfax Road -> Golden Mile Road -> Queen Elizabeth Drive -> Garnham Drive -> Dysart Clermont Road -> Cotherstone Road -> Gregory Highway -> Hospital Road -> Ruby Street -> Clermont Street -> Opal Street -> New Street
Bowen Basin,Kalgoorlie,Option 1,3944.6513999999997,Carfax Road -> Golden Mile Road -> Queen Elizabeth Drive -> Garnham Drive -> Dysart Clermont Road -> Cotherstone Road -> Gregory Highway -> Hospital Road -> Ruby Street -> Clermont Street -> Vince Lester Bridge -> Capricorn Highway -> Gregory Highway -> Eclipse Street -> William Street -> Dawson Highway -> Carnarvon Highway -> Hutton Street -> Carnarvon Highway -> Knayers Lane -> Short Street -> George Street East -> Beaumont Drive -> Roslyn Drive -> Warrego Highway -> Carnarvon Highway -> Burrowes Street -> Cordelia Street -> Carnarvon Highway -> Salmon Road -> Carnarvon Highway -> Castlereagh Highway -> Railway Street -> Castlereagh Highway -> Margaret Street -> William Street -> Maud Street -> Woolerbilla Road -> Hebel - Goodooga Road -> Goodooga Road -> Adams Street -> Goodooga Road -> Kamilaroi Highway -> Bridge Road -> Barwon Street -> Doyle Street -> Darling Street -> Bathurst Street -> Kamilaroi Highway -> Mitchell Street -> Richard Street -> Gorrell Avenue -> Kidman Way -> Bourke Wilcannia Road -> Bloxham Street -> Bourke Wilcannia Road -> Curranyalpa Road -> Fifty Two Mile Road -> Tilpa-Tonga Road -> West Tilpa Road -> Bourke Street -> Reid Street -> Myers Street -> Barrier Highway -> Argent Street -> Iodide Street -> Cobalt Street -> Chloride Street -> Wolfram Street -> Gossan Street -> Talc Street -> Galena Street -> Rakow Street -> Barrier Highway -> Waite Terrace -> Barrier Highway -> Railway Terrace -> Barrier Highway -> Railway Terrace -> Barrier Highway -> Petersburg Road -> Whittle Road -> Petersburg Road -> Main Street -> Petersburg Road -> RM Williams Way -> Second Street -> Willowie Road -> Horrocks Highway -> Horrocks Pass Road -> Main North Road -> Augusta Highway -> Victoria Parade -> Eyre Highway -> McKenzie Street -> Kuhlmann Street -> Eyre Highway -> Coolgardie-Esperance Highway -> Goldfields Highway -> Lane Street -> Federal Road -> Boulder Road -> Maritana Street -> Piccadilly Street -> Hawkins Street
Bowen Basin,Mackay (Paget),Option 1,218.4747,Carfax Road -> Fitzroy Developmental Road -> Peak Downs Highway -> Waverley Street -> Peak Downs Highway -> Archibald Street -> Connors Road -> John Vella Drive -> Central Park Drive -> Boundary Road East
Bowen Basin,Mt Thorley,Option 1,1418.2263,Carfax Road -> Golden Mile Road -> Queen Elizabeth Drive -> Garnham Drive -> Dysart Clermont Road -> Cotherstone Road -> Gregory Highway -> Hospital Road -> Ruby Street -> Clermont Street -> Vince Lester Bridge -> Capricorn Highway -> Gregory Highway -> Eclipse Street -> William Street -> Dawson Highway -> Carnarvon Highway -> Hutton Street -> Carnarvon Highway -> Knayers Lane -> Short Street -> George Street East -> Beaumont Drive -> Roslyn Drive -> Warrego Highway -> Carnarvon Highway -> Burrowes Street -> Cordelia Street -> Carnarvon Highway -> Salmon Road -> Carnarvon Highway -> St George Street -> Yarouah Street -> Carnarvon Highway -> Railway Parade -> Carnarvon Highway -> Boolooroo Street -> Carnarvon Highway -> Boggabilla Road -> Lou Swan Way -> Narrabri Road -> Newell Highway -> Gurley Street -> Newell Highway -> Railway Parade -> Newell Highway -> Barwan Street -> Spencer Street -> Maitland Street -> Old Gunnedah Road -> Turrawan Road -> Kamilaroi Highway -> Bibil Street -> Kamilaroi Highway -> Wee Waa Street -> Grantham Street -> Kamilaroi Highway -> Conadilly Street -> Warrabungle Street -> Bloomfield Street -> Oxley Highway -> Kamilaroi Highway -> Fitzroy Street -> Loder Street -> Kamilaroi Highway -> New England Highway -> Mayne Street -> New England Highway -> Salisbury Street -> New England Highway -> Main Street -> New England Highway -> Macqueen Street -> New England Highway -> Aberdeen Street -> New England Highway -> Bridge Street -> Sydney Street -> Denman Road -> Edderton Road -> Jerrys Plains Road -> Pringle Street -> Lonsdale Street -> Pagan Street -> Jerrys Plains Road -> Mount Thorley Road -> Kime Road
Bowen Basin,Mt Thorley,Option 2,1456.4159,Carfax Road -> Golden Mile Road -> Fitzroy Developmental Road -> Kennedy Street -> Normanby Street -> Fitzroy Developmental Road -> Capricorn Highway -> Theresa Street -> Capricorn Highway -> Leichhardt Highway -> Burnett Highway -> Leichhardt Highway -> Bowen Street -> Leichhardt Highway -> Bridge Street -> Wolsey Street -> Bonner Street -> Cromwell Street -> Leichhardt Highway -> Warrego Highway -> Murilla Street -> Leichhardt Highway -> Wambo Street -> Caliguel Street -> Leichhardt Highway -> Boundary Road -> Cunningham Highway -> Kildonan Road -> Keetah Road -> Tarwoona Road -> Holdfast Road -> Bruxner Way -> Richard Coventry Bridge -> River Street -> Bruxner Way -> Warialda Road -> Yetman Street -> Warialda Road -> Stephen Street -> Geddes Street -> Gwydir Highway -> Allan Cunningham Road -> Bingara Street -> Allan Cunningham Road -> East Street -> Finch Street -> Maitland Street -> Cobbadah Road -> Bingara Road -> Bridge Street -> Queen Street -> Manilla Road -> Rowan Street -> Arthur Street -> Tamworth Road -> Manilla Road -> Peel Street -> Brisbane Street -> Bridge Street -> Ebsworth Street -> Goonoo Goonoo Road -> New England Highway -> Coach Street -> New England Highway -> Mayne Street -> New England Highway -> Salisbury Street -> New England Highway -> Main Street -> New England Highway -> Macqueen Street -> New England Highway -> Aberdeen Street -> New England Highway -> Bridge Street -> Sydney Street -> Denman Road -> Edderton Road -> Jerrys Plains Road -> Pringle Street -> Lonsdale Street -> Pagan Street -> Jerrys Plains Road -> Mount Thorley Road -> Kime Road
Bowen Basin,Newman,Option 2,4914.5628,Carfax Road -> Golden Mile Road -> Queen Elizabeth Drive -> Garnham Drive -> Dysart Clermont Road -> Cotherstone Road -> Gregory Highway -> Hospital Road -> Ruby Street -> Clermont Street -> Vince Lester Bridge -> Capricorn Highway -> Gregory Highway -> Eclipse Street -> William Street -> Dawson Highway -> Carnarvon Highway -> Hutton Street -> Carnarvon Highway -> Knayers Lane -> Short Street -> George Street East -> Beaumont Drive -> Roslyn Drive -> Warrego Highway -> Carnarvon Highway -> Burrowes Street -> Cordelia Street -> Carnarvon Highway -> Salmon Road -> Carnarvon Highway -> Castlereagh Highway -> Railway Street -> Castlereagh Highway -> Margaret Street -> William Street -> Maud Street -> Woolerbilla Road -> Hebel - Goodooga Road -> Goodooga Road -> Adams Street -> Goodooga Road -> Kamilaroi Highway -> Bridge Road -> Barwon Street -> Doyle Street -> Darling Street -> Bathurst Street -> Kamilaroi Highway -> Mitchell Street -> Richard Street -> Gorrell Avenue -> Kidman Way -> Bourke Wilcannia Road -> Bloxham Street -> Bourke Wilcannia Road -> Curranyalpa Road -> Fifty Two Mile Road -> Tilpa-Tonga Road -> West Tilpa Road -> Bourke Street -> Reid Street -> Myers Street -> Barrier Highway -> Argent Street -> Iodide Street -> Cobalt Street -> Chloride Street -> Wolfram Street -> Gossan Street -> Talc Street -> Galena Street -> Rakow Street -> Barrier Highway -> Waite Terrace -> Barrier Highway -> Railway Terrace -> Barrier Highway -> Railway Terrace -> Barrier Highway -> Petersburg Road -> Whittle Road -> Petersburg Road -> Main Street -> Petersburg Road -> RM Williams Way -> Second Street -> Willowie Road -> Horrocks Highway -> Horrocks Pass Road -> Main North Road -> Augusta Highway -> Victoria Parade -> Eyre Highway -> McKenzie Street -> Kuhlmann Street -> Eyre Highway -> Coolgardie-Esperance Highway -> Goldfields Highway -> Tower Street -> Goldfields Highway -> Wotton Street -> Wiluna North Road -> Great Northern Highway -> Kalgan Drive -> Newman Drive -> Mindarra Drive -> Rudall Avenue -> Yalberee Street -> Giles Avenue -> Leete Place
